acs_median_hh_income,acs_population,acs_households,acs_avg_hh_size,state,county,tract,county_name,GEOID
54811.0,3013.0,1584.0,1.9,12,086,000107,Miami-Dade,12086000107
55179.0,3187.0,1283.0,2.45,12,086,000109,Miami-Dade,12086000109
97847.0,1788.0,746.0,2.4,12,086,000115,Miami-Dade,12086000115
98824.0,1208.0,492.0,2.46,12,086,000118,Miami-Dade,12086000118
73939.0,4175.0,1988.0,2.1,12,086,000120,Miami-Dade,12086000120
87500.0,1787.0,864.0,2.07,12,086,000121,Miami-Dade,12086000121
92524.0,3883.0,1819.0,2.13,12,086,000122,Miami-Dade,12086000122
56500.0,4099.0,1948.0,2.1,12,086,000123,Miami-Dade,12086000123
42105.0,3515.0,1314.0,2.16,12,086,000124,Miami-Dade,12086000124
50440.0,4314.0,1927.0,2.24,12,086,000125,Miami-Dade,12086000125
32600.0,1978.0,1051.0,1.88,12,086,000126,Miami-Dade,12086000126
46933.0,2547.0,1357.0,1.88,12,086,000127,Miami-Dade,12086000127
78427.0,3887.0,1743.0,2.23,12,086,000128,Miami-Dade,12086000128
106950.0,2190.0,1051.0,2.08,12,086,000129,Miami-Dade,12086000129
88350.0,2698.0,1272.0,2.12,12,086,000130,Miami-Dade,12086000130
78388.0,4637.0,1950.0,2.36,12,086,000131,Miami-Dade,12086000131
38768.0,5441.0,3055.0,1.78,12,086,000132,Miami-Dade,12086000132
41633.0,3208.0,1507.0,2.01,12,086,000134,Miami-Dade,12086000134
66146.0,3652.0,1629.0,2.24,12,086,000140,Miami-Dade,12086000140
78265.0,1730.0,798.0,2.17,12,086,000141,Miami-Dade,12086000141
68661.0,4666.0,2174.0,2.15,12,086,000142,Miami-Dade,12086000142
49559.0,3155.0,1724.0,1.83,12,086,000143,Miami-Dade,12086000143
84299.0,1221.0,591.0,2.07,12,086,000144,Miami-Dade,12086000144
158218.0,3173.0,1045.0,3.04,12,086,000145,Miami-Dade,12086000145
102576.0,4530.0,1825.0,2.48,12,086,000146,Miami-Dade,12086000146
61518.0,4211.0,1186.0,3.55,12,086,000204,Miami-Dade,12086000204
47147.0,6552.0,1887.0,3.47,12,086,000206,Miami-Dade,12086000206
54821.0,2719.0,974.0,2.79,12,086,000211,Miami-Dade,12086000211
