STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,median_household_income,population,state,county,tract,county_name,ST,STATE,ST_ABBR,COUNTY,STCNTY,LOCATION,AREA_SQMI,svi_theme1_pctile,svi_theme2_pctile,svi_theme3_pctile,svi_theme4_pctile,svi_overall_pctile,svi_theme1_score,svi_theme2_score,svi_theme3_score,svi_theme4_score,svi_overall_score,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,F_THEME1,F_THEME2,F_THEME3,F_THEME4,F_TOTAL,State Name,State Name Abbreviation,County Name,County FIPS Code,pop_2020,area_sqmi,nri_value,nri_score,nri_rating,eal_total,eal_score,eal_rating,social_vuln_score,social_vuln_rating,resilience_score,resilience_rating,coastal_flood_eal_total,coastal_flood_eal_score,coastal_flood_risk_score,coastal_flood_risk_value,coastal_flood_risk_rating,inland_flood_eal_total,inland_flood_eal_score,inland_flood_risk_score,inland_flood_risk_value,inland_flood_risk_rating,hurricane_eal_total,hurricane_eal_score,hurricane_risk_score,hurricane_risk_value,hurricane_risk_rating,in_floodplain
12,011,060303,12011060303,603.03,Census Tract 603.03,G5020,S,1091219,0,+26.1580017,-080.2229792,38319,6883,12,011,060303,Broward,12.0,Florida,FL,Broward County,12011.0,Census Tract 603.03; Broward County; Florida,0.421321838338,0.943,0.8325,0.9215,0.9621,0.9742,4.1896,3.045,0.9215,3.692,11.8481,52.1,6.4,66.1,14.9,17.7,9.9,31.1,9.0,19.2,9.2,93.5,58.9,0.0,12.9,18.4,3.5,2.0,2.0,1.0,3.0,8.0,Florida,FL,Broward,011,8194.0,0.42557541,1777513.90598495,58.2010393255087,Relatively Moderate,1162541.19352207,40.9716513610635,Relatively Low,84.64135521,Very High,34.8134107333254,Relatively Low,0.0,0.0,0.0,0.0,No Rating,449244.11507946,37.7093266317495,53.101922871107,686889.777485108,Relatively Moderate,475809.540004296,89.4529789031874,92.2100379586672,727508.04760355,Relatively High,True
12,086,013600,12086013600,136,Census Tract 136,G5020,S,782295,29373,+25.8713902,-080.3262779,44688,5857,12,086,013600,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 136; Miami-Dade County; Florida,0.30204566409,0.9022,0.6404,0.9805,0.5734,0.8396,3.9561,2.7134,0.9805,2.4186,10.0686,29.2,5.5,52.6,19.3,18.9,13.7,19.2,8.9,7.7,44.5,98.2,69.0,0.0,5.2,7.1,0.0,1.0,1.0,1.0,1.0,4.0,Florida,FL,Miami-Dade,086,5614.0,0.31655052,1745034.188868,57.2211717978904,Relatively Moderate,1168373.40249083,41.2241350964136,Relatively Low,82.1346917,Very High,33.6358251392015,Relatively Low,418.5898,75.8941838250902,76.683867092582,625.188411987282,Very Low,411941.059044611,33.6578434365972,47.3463903059708,615258.127494887,Relatively Low,556158.28272317,90.5805432810184,93.0634050330381,830655.007812596,Relatively High,True
12,086,013700,12086013700,137,Census Tract 137,G5020,S,1370406,208907,+25.8631476,-080.3295325,41081,6199,12,086,013700,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 137; Miami-Dade County; Florida,0.529116497412,0.8846,0.9053,0.964,0.9148,0.956,3.8686,3.2212,0.964,3.4309,11.4847,39.8,2.9,57.2,22.8,18.6,19.0,18.6,12.0,9.9,44.1,97.0,82.9,0.0,5.0,9.6,4.2,1.0,1.0,1.0,1.0,4.0,Florida,FL,Miami-Dade,086,6678.0,0.61593207,2473629.76456834,74.054915391293,Relatively Moderate,1393625.04013185,51.0651290602908,Relatively Low,97.27655038,Very High,33.6358251392015,Relatively Low,2564.47,81.3309276162174,82.9278947224725,4551.83362789061,Relatively Low,430035.515891135,35.6236935434624,58.7409177933954,763296.167403227,Relatively Moderate,720928.059653951,92.3688548434015,95.4576128215943,1279619.01883149,Relatively High,True
12,086,980100,12086980100,9801,Census Tract 9801,G5020,S,14159817,37115504,+25.4728751,-080.1889698,-666666666,0,12,086,980100,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 9801; Miami-Dade County; Florida,5.467133663334,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,Florida,FL,Miami-Dade,086,0.0,19.99737519,2419.22006275052,0.083241173462714,Very Low,4280.79042644571,0.105690865960495,Very Low,0.393295031,Very Low,33.6358251392015,Relatively Low,172.306,73.7900658034388,72.659513473667,97.375972800984,Very Low,3062.65663540628,0.324118655612185,0.22118368948664,1730.81128473805,Very Low,709.00158341931,31.4000360155698,27.5650217910867,400.680875320031,Very Low,True
12,011,110501,12011110501,1105.01,Census Tract 1105.01,G5020,S,987785,15270,+25.9853842,-080.2192385,78599,3996,12,011,110501,Broward,12.0,Florida,FL,Broward County,12011.0,Census Tract 1105.01; Broward County; Florida,0.38138576407,0.487,0.33,0.9169,0.5329,0.5381,2.4255,2.2371,0.9169,2.3166,7.8961,8.3,3.3,26.7,20.2,14.1,11.6,20.0,9.3,5.5,6.2,93.0,1.1,0.0,12.0,4.0,0.3,0.0,0.0,1.0,1.0,2.0,Florida,FL,Broward,011,3347.0,0.39119145,599791.604574386,10.9045937236155,Very Low,598760.449864413,13.0023251990511,Very Low,32.70271871,Relatively Low,34.8134107333254,Relatively Low,0.0,0.0,0.0,0.0,No Rating,231124.1796,12.7204828898231,9.61435553494346,231522.209874774,Very Low,269094.047995559,84.7681843997174,84.8066919724448,269557.46804122,Relatively Moderate,True
12,086,001004,12086001004,10.04,Census Tract 10.04,G5020,S,2503109,0,+25.8432689,-080.2227936,46473,7302,12,086,001004,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 10.04; Miami-Dade County; Florida,0.966455391118,0.9286,0.7828,0.9715,0.8525,0.9359,4.0988,2.9468,0.9715,3.1878,11.2049,37.4,9.6,45.4,22.3,13.4,10.7,31.0,5.6,19.4,10.8,97.5,20.9,6.9,6.3,20.1,0.0,0.0,2.0,1.0,1.0,4.0,Florida,FL,Miami-Dade,086,7409.0,0.97621251,2140545.91816415,67.3801624392042,Relatively Moderate,1596265.0181726,58.7335885572022,Relatively Moderate,70.01362317,Relatively High,33.6358251392015,Relatively Low,155.3826,73.5857567395457,74.0218964152128,208.363640371256,Very Low,560011.436006626,48.9113840806069,57.8942361433175,750959.38319912,Relatively Moderate,770749.101126968,92.8079677522129,94.366652607901,1033552.58905237,Relatively High,True
12,086,001005,12086001005,10.05,Census Tract 10.05,G5020,S,975554,29912,+25.8595676,-080.2142738,26136,1640,12,086,001005,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 10.05; Miami-Dade County; Florida,0.376663350508,0.8968,0.8777,0.9533,0.9968,0.9876,3.9222,3.1452,0.9533,4.2369,12.2576,51.6,7.6,42.0,25.6,10.3,41.8,10.2,24.4,2.3,18.1,96.3,65.5,0.6,7.4,31.6,15.6,2.0,2.0,1.0,3.0,8.0,Florida,FL,Miami-Dade,086,2107.0,0.39213174,1086701.76290148,32.5984326876197,Relatively Low,665790.27983394,16.2458604410832,Very Low,90.43949535,Very High,33.6358251392015,Relatively Low,2689.669098955,81.4821693907875,82.7422393316406,4390.07333087688,Relatively Low,305183.318360748,21.1745778237076,36.3930410378985,498119.693416772,Relatively Low,279654.915432179,85.0895540995415,88.8134401799522,456452.277555046,Relatively Moderate,True
12,099,007610,12099007610,76.10,Census Tract 76.10,G5020,S,3887182,0,+26.3602395,-080.1606178,102072,4622,12,099,007610,Palm Beach,12.0,Florida,FL,Palm Beach County,12099.0,Census Tract 76.10; Palm Beach County; Florida,1.500848744564,0.3241,0.3578,0.197,0.4868,0.3377,1.9049,2.2811,0.197,2.2077,6.5907,10.5,5.7,20.8,1.1,17.9,32.7,22.4,8.1,1.9,1.5,17.8,7.3,0.0,2.9,1.5,3.6,0.0,0.0,0.0,0.0,0.0,Florida,FL,Palm Beach,099,4718.0,1.51600098,2608959.42836743,76.2786438823683,Relatively Moderate,2722255.23775315,83.1035535617822,Relatively Moderate,26.48699876,Relatively Low,21.9748844923587,Relatively Low,0.0,0.0,0.0,0.0,No Rating,1256819.3639219,85.0905418418395,79.3312166292081,1204512.59815195,Relatively High,1338088.29982824,95.9094623983599,95.4716715872346,1282399.25390185,Relatively High,True
12,099,007612,12099007612,76.12,Census Tract 76.12,G5020,S,2519227,26746,+26.3524405,-080.1352295,95948,6038,12,099,007612,Palm Beach,12.0,Florida,FL,Palm Beach County,12099.0,Census Tract 76.12; Palm Beach County; Florida,0.972678583154,0.2276,0.4199,0.4313,0.5838,0.3761,1.5749,2.3743,0.4313,2.4415,6.822,11.7,4.3,25.9,3.9,6.7,25.0,19.0,10.4,4.5,1.6,34.6,15.1,0.0,2.1,6.7,0.4,0.0,0.0,0.0,0.0,0.0,Florida,FL,Palm Beach,099,5495.0,0.99292947,2095766.6184546,66.3420260901621,Relatively Moderate,1652695.89623277,60.6736031190549,Relatively Moderate,61.61760351,Relatively High,21.9748844923587,Relatively Low,0.0,0.0,0.0,0.0,No Rating,755806.509858476,64.3774807994927,69.884532600811,958430.439007384,Relatively Moderate,777839.519408253,92.8647615353714,94.0770420357093,986370.271146962,Relatively High,True
12,086,001006,12086001006,10.06,Census Tract 10.06,G5020,S,1296486,27435,+25.8526312,-080.2034403,30657,4936,12,086,001006,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 10.06; Miami-Dade County; Florida,0.500575837572,0.9807,0.9406,0.9687,0.9801,0.9945,4.5052,3.3494,0.9687,3.8501,12.6734,52.0,13.0,37.9,32.8,22.3,16.0,30.0,7.8,16.6,23.9,97.3,8.4,32.4,23.1,37.7,0.1,3.0,3.0,1.0,2.0,9.0,Florida,FL,Miami-Dade,086,4575.0,0.51632919,1526724.2795364,50.2419939828523,Relatively Low,1032841.55491614,34.8451041642201,Relatively Low,81.05668424,Very High,33.6358251392015,Relatively Low,5497.943548,84.310655911696,85.2431266551997,8126.9424746699,Relatively Low,528752.749184897,45.92150691688,59.9419690105003,781590.996421271,Relatively Moderate,341363.985882779,86.7351885969165,89.552931252636,504596.93737717,Relatively Moderate,True
12,086,001101,12086001101,11.01,Census Tract 11.01,G5020,S,1515386,258,+25.8764691,-080.1927299,60679,5177,12,086,001101,Miami-Dade,12.0,Florida,FL,Miami-Dade County,12086.0,Census Tract 11.01; Miami-Dade County; Florida,0.585093565372,0.8572,0.6611,0.8785,0.7069,0.8446,3.7452,2.7415,0.8785,2.7442,10.1094,32.9,5.2,34.1,15.0,28.6,15.0,23.3,9.1,6.4,10.4,88.6,0.0,2.7,11.0,1.9,4.1,1.0,0.0,0.0,1.0,2.0,Florida,FL,Miami-Dade,086,5106.0,0.59110116,928921.085508691,25.4004495023367,Relatively Low,882351.616315624,27.3422270239801,Relatively Low,39.14944027,Relatively Low,33.6358251392015,Relatively Low,5080.012993,83.9736786244959,83.5694979113769,5348.13003863509,Relatively Low,325005.42906972,23.5537966507739,20.1931195224335,342158.829184565,Relatively Low,376840.792696927,87.5898657727418,87.723885842823,396730.001671769,Relatively Moderate,True
